Loading net-file from 'C:\Users\lendl\Documents\smart_traffic\sumo\25-3-lendl-ver.net.xml' ... done (11ms).
Loading additional-files from '000/../edgedata.add.xml' ... done (2ms).
Loading done.
Simulation version 1.15.0 started with time: 0.00.
Warning: Vehicle 'f_1_0_CAR.74' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=617.34.
Warning: Vehicle 'f_1_0_CAR.159' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=1330.36.
Warning: Vehicle 'f_1_0_CAR.184' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=1507.92.
Warning: Vehicle 'f_10_0_CAR.34' performs emergency braking on lane ':J2_2_0' with decel=9.00, wished=4.50, severity=1.00, time=1887.14.
Warning: Vehicle 'f_1_0_CAR.274' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=2254.06.
Warning: Vehicle 'f_1_0_TRUCK.5' performs emergency braking on lane 'E3_0' with decel=7.00, wished=4.00, severity=1.00, time=3028.24.
Warning: Vehicle 'f_1_0_CAR.429' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=3493.16.
Warning: Vehicle 'f_1_1_CAR.14' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=3710.52.
Warning: Vehicle 'f_1_1_CAR.26' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=3795.96.
Warning: Vehicle 'f_1_1_CAR.236' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=5159.34.
Warning: Vehicle 'f_1_1_CAR.288' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=5504.66.
Warning: Vehicle 'f_1_1_CAR.298' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=5554.86.
Warning: Vehicle 'f_1_1_CAR.451' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=6563.94.
Warning: Vehicle 'f_1_1_CAR.464' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=6635.56.
Warning: Vehicle 'f_1_2_CAR.3' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=7248.52.
Warning: Vehicle 'f_1_2_CAR.172' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=9158.32.
Warning: Vehicle 'f_1_2_CAR.178' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=9226.18.
Warning: Vehicle 'f_1_2_CAR.181' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=9254.12.
Warning: Vehicle 'f_1_2_CAR.211' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=9598.66.
Warning: Vehicle 'f_1_2_CAR.213' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=9642.26.
Warning: Vehicle 'f_8_2_CAR.87' performs emergency braking on lane '26296781#1_1' with decel=9.00, wished=4.50, severity=1.00, time=9946.20.
Warning: Vehicle 'f_1_2_CAR.241' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=9948.40.
Warning: Vehicle 'f_1_2_CAR.268' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=10267.00.
Warning: Vehicle 'f_2_2_CAR.93' performs emergency braking on lane '1078018164_0' with decel=9.00, wished=4.50, severity=1.00, time=10379.00.
Warning: Vehicle 'f_1_2_CAR.300' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=10602.20.
Warning: Vehicle 'f_1_3_CAR.23' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=11100.50.
Warning: Vehicle 'f_1_3_CAR.121' performs emergency braking on lane '780157087#0_1' with decel=9.00, wished=4.50, severity=1.00, time=12325.78.
Warning: Vehicle 'f_1_3_CAR.146' performs emergency braking on lane ':J7_2_0' with decel=9.00, wished=4.50, severity=1.00, time=12638.60.
Warning: Vehicle 'f_1_3_CAR.160' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=12818.60.
Warning: Vehicle 'f_1_4_CAR.53' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=15076.30.
Warning: Vehicle 'f_1_4_CAR.61' performs emergency braking on lane 'E3_0' with decel=9.00, wished=4.50, severity=1.00, time=15196.16.
Warning: Vehicle 'f_10_4_TAXI.1' performs emergency braking on lane 'E1_0' with decel=9.00, wished=4.50, severity=1.00, time=15637.28.
